,Date/Time,Lat,Lon,Base,hour,dayofweek,month,db_clusters
0,2014-04-07 00:31:00,40.7205,-73.9939,B02512,00,Monday,April,0
1,2014-04-07 00:37:00,40.7407,-74.0077,B02512,00,Monday,April,0
2,2014-04-07 00:50:00,40.7591,-73.9892,B02512,00,Monday,April,0
3,2014-04-07 00:58:00,40.7419,-74.0034,B02512,00,Monday,April,0
4,2014-04-14 00:02:00,40.7456,-73.9773,B02512,00,Monday,April,-1
5,2014-04-14 00:03:00,40.7424,-74.1753,B02512,00,Monday,April,-1
6,2014-04-14 00:14:00,40.7632,-73.9712,B02512,00,Monday,April,0
7,2014-04-14 00:24:00,40.7607,-73.9809,B02512,00,Monday,April,0
8,2014-04-14 00:30:00,40.742,-74.0037,B02512,00,Monday,April,0
9,2014-04-14 00:32:00,40.7457,-73.9567,B02512,00,Monday,April,-1
10,2014-04-21 00:01:00,40.7673,-73.9547,B02512,00,Monday,April,-1
11,2014-04-21 00:12:00,40.7512,-73.8874,B02512,00,Monday,April,-1
12,2014-04-21 00:40:00,40.7605,-73.9622,B02512,00,Monday,April,0
13,2014-04-21 00:42:00,40.6647,-73.8969,B02512,00,Monday,April,-1
14,2014-04-28 00:01:00,40.6449,-73.7818,B02512,00,Monday,April,1
15,2014-04-28 00:03:00,40.7683,-73.9845,B02512,00,Monday,April,0
16,2014-04-28 00:03:00,40.645,-73.7815,B02512,00,Monday,April,1
17,2014-04-28 00:08:00,40.8682,-73.8244,B02512,00,Monday,April,-1
18,2014-04-28 00:09:00,40.7292,-73.9872,B02512,00,Monday,April,0
19,2014-04-28 00:11:00,40.7641,-73.9787,B02512,00,Monday,April,0
20,2014-04-28 00:14:00,40.7238,-74.0035,B02512,00,Monday,April,0
21,2014-04-28 00:20:00,40.7644,-73.9794,B02512,00,Monday,April,0
22,2014-04-28 00:37:00,40.6449,-73.782,B02512,00,Monday,April,1
23,2014-04-28 00:48:00,40.7571,-73.9739,B02512,00,Monday,April,0
24,2014-04-28 00:57:00,40.725,-73.9772,B02512,00,Monday,April,0
25,2014-04-07 00:00:00,40.7599,-73.9729,B02598,00,Monday,April,0
26,2014-04-07 00:02:00,40.6484,-73.7827,B02598,00,Monday,April,1
27,2014-04-07 00:05:00,40.7296,-74.001,B02598,00,Monday,April,0
28,2014-04-07 00:05:00,40.7569,-73.9679,B02598,00,Monday,April,0
29,2014-04-07 00:05:00,40.7318,-73.9859,B02598,00,Monday,April,0
30,2014-04-07 00:06:00,40.7687,-73.9579,B02598,00,Monday,April,-1
31,2014-04-07 00:06:00,40.7551,-73.9758,B02598,00,Monday,April,0
32,2014-04-07 00:08:00,40.8222,-73.9446,B02598,00,Monday,April,-1
33,2014-04-07 00:09:00,40.7277,-73.9855,B02598,00,Monday,April,0
34,2014-04-07 00:12:00,40.7671,-73.9863,B02598,00,Monday,April,0
35,2014-04-07 00:15:00,40.6466,-73.7895,B02598,00,Monday,April,1
36,2014-04-07 00:17:00,40.7137,-73.9572,B02598,00,Monday,April,2
37,2014-04-07 00:19:00,40.799,-73.9679,B02598,00,Monday,April,-1
38,2014-04-07 00:22:00,40.7473,-73.9935,B02598,00,Monday,April,0
